e11,e22,e12,s11,s22,s12,timestep,simulation_id
-0.0126379,-0.0168881,-0.00818242,-259.153,-253.714,-102.196,87.0,8317
-0.0118492,-0.0158491,-0.00762513,-239.218,-234.197,-94.3351,88.0,8317
-0.0106234,-0.0141905,-0.00689599,-219.283,-214.681,-86.4739,89.0,8317
-0.00896761,-0.0119218,-0.00599769,-199.348,-195.164,-78.6126,90.0,8317
-0.00703726,-0.00926387,-0.00499143,-179.414,-175.648,-70.7513,91.0,8317
-0.00509395,-0.00658755,-0.00398007,-159.479,-156.131,-62.8901,92.0,8317
-0.00340449,-0.00427123,-0.00306855,-139.544,-136.615,-55.0288,93.0,8317
-0.00213733,-0.00255377,-0.00232311,-119.609,-117.099,-47.1676,94.0,8317
-0.00131282,-0.00146405,-0.00175175,-99.6742,-97.5822,-39.3063,95.0,8317
-0.000831549,-0.000861087,-0.00131539,-79.7394,-78.0657,-31.445,96.0,8317
-0.000551159,-0.000542997,-0.000958028,-59.8045,-58.5493,-23.5838,97.0,8317
-0.000353196,-0.0003418,-0.000633084,-39.8697,-39.0329,-15.7225,98.0,8317
-0.000176211,-0.000170352,-0.00031639,-19.9348,-19.5164,-7.86126,99.0,8317
-3.65598e-06,-5.18464e-06,-1.43783e-06,2.28057e-07,3.23418e-07,4.48467e-08,100.0,8317
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.000235182,0.000246473,-0.000250253,-6.23679,17.8774,-6.26448,1.0,3302
-0.000470364,0.000492946,-0.000500506,-12.4736,35.7547,-12.529,2.0,3302
-0.000705546,0.000739418,-0.000750759,-18.7104,53.6321,-18.7935,3.0,3302
-0.000940728,0.000985891,-0.00100101,-24.9472,71.5095,-25.0579,4.0,3302
-0.00117591,0.00123236,-0.00125126,-31.1839,89.3868,-31.3224,5.0,3302
-0.00141109,0.00147884,-0.00150152,-37.4207,107.264,-37.5869,6.0,3302
-0.00164764,0.00172632,-0.00175372,-43.6575,125.142,-43.8514,7.0,3302
-0.00194736,0.00202079,-0.00209651,-49.8943,143.019,-50.1159,8.0,3302
-0.00265904,0.00262035,-0.00304037,-56.1311,160.896,-56.3804,9.0,3302
-0.0044866,0.00403912,-0.00567223,-62.3679,178.774,-62.6448,10.0,3302
-0.00792102,0.00662875,-0.0108081,-68.6047,196.651,-68.9093,11.0,3302
-0.0124443,0.0100099,-0.0176568,-74.8415,214.528,-75.1738,12.0,3302
-0.0166641,0.0131729,-0.0240066,-81.0783,232.406,-81.4383,13.0,3302
-0.0194397,0.015287,-0.0280787,-87.315,250.283,-87.7028,14.0,3302
-0.0207177,0.0163047,-0.0298592,-93.5518,268.161,-93.9673,15.0,3302
-0.021189,0.0167266,-0.0304496,-99.7886,286.038,-100.232,16.0,3302
-0.0214662,0.0170043,-0.03076,-106.025,303.915,-106.496,17.0,3302
-0.0217014,0.0172508,-0.0310103,-112.262,321.793,-112.761,18.0,3302
-0.0219366,0.0174972,-0.0312605,-118.499,339.67,-119.025,19.0,3302
-0.0221717,0.0177437,-0.0315108,-124.736,357.547,-125.29,20.0,3302
-0.0224069,0.0179902,-0.031761,-130.973,375.425,-131.554,21.0,3302
-0.0226421,0.0182367,-0.0320113,-137.209,393.302,-137.819,22.0,3302
-0.0228773,0.0184831,-0.0322615,-143.446,411.179,-144.083,23.0,3302
-0.0231125,0.0187296,-0.0325118,-149.683,429.057,-150.348,24.0,3302
-0.0233477,0.0189761,-0.032762,-155.92,446.934,-156.612,25.0,3302
-0.0235828,0.0192226,-0.0330123,-162.157,464.812,-162.877,26.0,3302
-0.023818,0.019469,-0.0332625,-168.393,482.689,-169.141,27.0,3302
